date,close,avg_block_size,blocks_size,cost_per_transaction_percent,cost_per_transaction,difficulty,est_transaction_volume_USD,est_transaction_volume,hash_rate,median_confirmation_time,miners_revenue,n_transactions_excl_chains_longer_than_100,n_transactions_excl_popular,n_transactions_per_block,n_transactions,n_unique_addresses,output_volume,total_bitcoins,trade_volume,transaction_fees_USD,transaction_fees,mempool_count_mean,mempool_count_stddev,mempool_count_min,mempool_count_max,mempool_growth_mean,mempool_growth_stddev,mempool_growth_min,mempool_growth_max,mempool_size_mean,mempool_size_stddev,mempool_size_min,mempool_size_max,wallets_created,transactions_per_sec_mean,transactions_per_sec_stddev,transactions_per_sec_min,transactions_per_sec_max,utxo_count_mean,utxo_count_stddev,utxo_count_min,utxo_count_max,news_stories_total,news_stories_positive,news_stories_negative,news_stories_neutral
2016-05-04,446.72,0.7087220120000001,67182.12147,0.98078312,8.131309769,178659000000.0,193746215.1,433078.2465,1492041.5790000001,7.35,1900230.174,144494,226986,1399.359281,233693,394207,2276697.826,15506675.0,18922797.28,21103.2721,47.17185349,2197.565972,1636.6150109999999,22.0,7158.0,1207.131134,655.5184552999999,179.05,9054.15,2211832.444,1653188.668,191394.0,6495799.0,7087522,2.651527778,0.8004824309999999,0.583333333,11.15,37517394.13,12585.53581,37500471,37552168,38,20,8,10
2016-05-05,447.98,0.706327083,67292.30849,1.370043998,7.705952731,178659000000.0,129129621.4,287908.0096,1385467.1809999999,7.333333333,1769132.628,140563,230703,1481.16129,229580,374537,2161647.025,15510550.0,19214683.74,19849.42326,44.25636722,1836.436111,1505.778083,28.0,7240.0,1134.6109490000001,698.6215574,187.75,9514.45,1595247.3480000002,1201763.372,195012.0,5715311.0,7102517,2.581099537,0.722557702,0.683333333,11.63333333,37597592.46,11915.734859999999,37559384,37613350,89,44,30,15
2016-05-06,459.6,0.685889278,67403.42256,1.257261258,8.091535496,178659000000.0,150104442.9,325669.7465,1438754.38,6.516666667000001,1887205.007,138531,200750,1439.703704,233232,375533,2321255.5,15514600.0,32475379.45,20519.506709999998,44.519552000000004,1519.447222,1270.942845,24.0,6836.0,1149.364132,744.1576922999999,0.0,9026.616667,1771746.4880000001,1023185.685,204910.0,5402336.0,7116743,2.555474537,0.9058458159999999,0.0,16.76666667,37656856.46,13223.02238,37616671,37677109,44,24,14,6
2016-05-07,458.54,0.6465225529999999,67500.40093999999,1.711755823,8.604624482,178659000000.0,101572175.7,221270.8603,1332179.981,7.933333332999999,1738667.632,124090,183927,1347.08,202062,337042,1893689.36,15518350.0,15060351.77,17267.631999999998,37.61683514,1639.178472,1487.5692,0.0,8954.0,972.4700694,586.5141911000001,0.0,8999.083333,1755138.926,1013067.9909999999,0.0,5784692.0,7130242,2.178946759,0.676303588,0.0,6.6,37725324.83,14494.140519999999,37680390,37740916,30,13,5,12
2016-05-08,458.55,0.584654595,67595.69963999999,2.596041062,10.13820345,178659000000.0,72466700.77,158286.4461,1447635.58,6.8666666670000005,1881265.3080000002,114468,224909,1138.417178,185562,349946,1603646.251,15522500.0,12940418.12,15648.80804,34.18113678,1225.839583,1055.630949,32.0,5096.0,982.0998380000001,697.649358,9.933333333,10095.98333,1302311.26,846695.7324,139964.0,4082015.0,7143125,2.110856481,0.474805553,0.016666667,4.866666667,37775205.46,14929.615380000001,37743189,37820205,10,4,3,3
2016-05-09,460.48,0.6378895379999999,67706.05453,1.4567102680000001,8.90033923,178659000000.0,138359065.9,299718.5319,1536447.5780000002,7.0,2015490.719,133444,242168,1324.274854,226451,405580,2062357.448,15526825.0,23824164.12,18680.06448,40.4654474,1562.246528,1474.820287,52.0,8745.0,1076.8132289999999,637.7908593,0.0,8691.933332999999,1309152.926,742996.7036,201150.0,4676295.0,7156897,2.4554513890000003,0.7359516070000001,0.0,9.916666667000001,37875386.79,18105.18926,37827431,37913685,27,10,7,10
2016-05-10,450.89,0.7269089809999999,67820.90615,1.173043112,7.32190507,178659000000.0,153374229.6,340831.6212,1403229.58,7.833333333,1799145.836,144892,232247,1555.196203,245721,405856,2211911.674,15530775.0,28095275.36,21645.83579,48.10185732,2180.5316190000003,1889.0422059999999,54.0,9906.0,1169.8108220000001,620.4206244,0.0,8405.483333,1994716.245,979057.8513,338483.0,5348297.0,7171822,2.651550926,0.999485576,0.0,15.01666667,37953389.71,18915.21417,37912102,37992921,32,18,8,6
2016-05-11,452.73,0.813015774,67929.03725,1.066672533,6.507173152999999,190503000000.0,143001664.2,316018.7934,1284309.113,9.483333333,1525359.4730000002,135661,226826,1762.496241,234412,383199,2510174.685,15534100.0,20927427.5,20763.72321,45.88566709,2982.1150629999997,1706.102125,0.0,7804.0,1135.836782,577.0044602999999,0.0,7864.116667,2895056.082,1417175.6330000001,0.0,7164648.0,7187239,2.584537037,0.79839239,0.0,10.53333333,38036193.0,19144.6883,37993829,38073516,24,12,8,4
2016-05-12,454.77,0.7799939709999999,68037.45641,1.012910105,7.010848135,194255000000.0,158093082.9,347686.56899999996,1342247.87,8.283333333,1601340.812,135621,229246,1643.230216,228409,377121,2295414.38,15537575.0,22652718.67,21258.311709999998,46.75238994,2583.9527780000003,1319.6019019999999,384.0,7603.0,1144.629236,638.2770246,397.9333333,8939.2,2639913.172,900056.4512,483424.0,4883624.0,7201956,2.543090278,0.594030852,1.266666667,5.083333333,38110461.21,17019.53301,38074884,38142532,13,7,5,1
2016-05-13,455.67,0.7626939009999999,68153.38588,1.2614115190000001,7.5713235910000005,194255000000.0,139340132.9,305021.9625,1467781.843,7.966666667,1757652.486,136251,208305,1527.276316,232146,378733,2577781.011,15541375.0,15841283.88,21736.48646,47.58216903,2813.457639,1907.267217,492.0,10463.0,1200.4864810000001,578.6440863,137.3,5854.816667,2873567.336,1505258.3769999999,800751.0,8184175.0,7215311,2.575,0.665383291,0.5,8.166666667000001,38191800.13,16993.72834,38146742,38221468,23,11,7,5
2016-05-14,455.67,0.812342931,68270.36326,1.605594367,7.867344993,194255000000.0,103526313.0,227205.7787,1390530.167,9.816666667,1662212.65,127125,196313,1467.222222,211280,369111,1910552.81,15544975.0,10458258.43,21872.65022,48.00318276,3549.934028,2205.96089,313.0,11968.0,1170.850498,760.7386775,307.6166667,9244.05,3196859.151,1505620.94,380819.0,8213217.0,7227274,2.27869213,0.562442412,0.966666667,5.566666667000001,38249849.33,16011.54106,38208923,38265396,8,6,1,1
